Date,Symbol,K val,D val,Buy,Sell
2016-10-26,WDC,56.91360445581244,64.37656833491577,None,None
2016-10-27,WDC,75.26791330231116,68.10805027446743,None,None
2016-10-28,WDC,75.0178917766712,64.52811876054557,None,None
2016-10-31,WDC,70.21916294886321,59.28323225248276,None,None
2016-11-01,WDC,61.44580071287756,53.81526690429253,None,None
2016-10-26,NFLX,71.01067964278721,66.40805379762348,None,None
2016-10-27,NFLX,70.2607231734427,64.10674087504161,None,None
2016-10-28,NFLX,72.64210474756936,61.02974972584107,None,None
2016-10-31,NFLX,62.19847148121968,55.22357221497692,None,None
2016-11-01,NFLX,55.2083677455666,51.73612258185554,None,None
2016-10-26,GOOGL,71.09344880232324,69.3243216604491,None,None
2016-10-27,GOOGL,72.28834357385526,68.43975808951204,None,None
2016-10-28,GOOGL,78.47883387930143,66.51546534734044,None,None
2016-10-31,GOOGL,71.79745171196298,60.53378108135994,None,None
2016-11-01,GOOGL,64.70583729817525,54.90194576605842,None,None
2016-10-26,AAPL,80.4617632824286,68.1646913009725,None,None
2016-10-27,AAPL,73.22552389817236,62.01615531024446,None,None
2016-10-28,AAPL,67.6373884113611,56.411471016280515,None,None
2016-10-31,AAPL,58.347994085245475,50.79851231874022,None,None
2016-11-01,AAPL,41.07131430646277,47.02377143548759,None,None
2016-10-26,SRCL,37.423030791615275,50.45604242590135,None,None
2016-10-27,SRCL,40.287266109824614,56.97254824304439,None,None
2016-10-28,SRCL,74.07991727058659,65.31518930965429,None,None
2016-10-31,SRCL,75.31155823670701,60.932825329188134,None,None
2016-11-01,SRCL,61.2303766262861,53.7434588754287,None,None
2016-10-26,SBAC,86.78482654548975,79.61696760371552,None,None
2016-10-27,SBAC,84.67811120907496,76.03303813282841,None,None
2016-10-28,SBAC,84.1918275130745,71.71050159470514,None,None
2016-10-31,SBAC,80.37047721871038,65.46983863552046,None,None
2016-11-01,SBAC,74.05855803177653,58.01951934392551,None,None
2016-10-26,JD,79.0136811462627,71.05219290163507,None,None
2016-10-27,JD,72.84952792242701,67.07144877932124,None,None
2016-10-28,JD,72.80091024112838,64.18240920776836,None,None
2016-10-31,JD,72.2448677771515,59.87315869108835,None,None
2016-11-01,JD,61.061912444170346,53.68730414805678,None,None
2016-10-26,CTRP,84.11577022351572,74.35091630218234,None,None
2016-10-27,CTRP,78.42315431277866,69.46848934151565,None,None
2016-10-28,CTRP,76.36678679642745,64.99115685588414,None,None
2016-10-31,CTRP,70.41337237705169,59.30334188561248,None,None
2016-11-01,CTRP,61.24497991967864,53.74832663989288,None,None
2016-10-26,XLNX,30.969842629123654,43.06424143256037,None,None
2016-10-27,XLNX,38.272930885807256,49.111440834278724,None,None
2016-10-28,XLNX,47.86396988248089,54.530695808514466,None,None
2016-10-31,XLNX,64.97789697270682,57.864058771531255,None,None
2016-11-01,XLNX,62.92141901283039,54.30713967094347,None,None
2016-10-26,NXPI,43.76406710893813,64.28208877414343,None,None
2016-10-27,NXPI,69.94685335157916,74.54109960674609,None,None
2016-10-28,NXPI,98.94996369806684,76.83822273432955,None,None
2016-10-31,NXPI,90.21589119171443,65.78235225246091,None,None
2016-11-01,NXPI,60.696748348502446,53.565582782834156,None,None
2016-10-26,VRTX,60.90326843170213,57.81952440776975,None,None
2016-10-27,VRTX,56.4711977920654,56.27765239580356,None,None
2016-10-28,VRTX,63.58830012590824,56.18087969767264,None,None
2016-10-31,VRTX,53.68320866512869,52.477169483554846,None,None
2016-11-01,VRTX,55.62244967830374,51.87414989276792,None,None
2016-10-26,MYL,61.99188722397509,55.13956073759149,None,None
2016-10-27,MYL,56.946110870729264,51.713397494399686,None,None
2016-10-28,MYL,50.627486965826606,49.09704080623489,None,None
2016-10-31,MYL,41.230531384357405,48.33181772643903,None,None
2016-11-01,MYL,55.64738269243952,51.882460897479845,None,None
2016-10-26,KHC,37.15514975813683,42.292496810057884,None,None
2016-10-27,KHC,33.24643149063216,44.861170336018404,None,None
2016-10-28,KHC,43.69319515985607,50.668539758711525,None,None
2016-10-31,KHC,61.37315732319573,54.156212058139246,None,None
2016-11-01,KHC,51.64321827683301,50.547739425611006,None,None
2016-10-26,HSIC,19.254751925413057,24.058496552078083,None,None
2016-10-27,HSIC,19.84833900658422,26.460368865410594,None,None
2016-10-28,HSIC,20.93730665679893,29.766383794823778,None,None
2016-10-31,HSIC,21.214027490161982,34.1809223638362,None,None
2016-11-01,HSIC,21.99310940201996,40.66436980067332,None,None
2016-10-26,CTSH,20.827423943019202,32.36295755730283,None,None
2016-10-27,CTSH,30.86527068766369,38.13072436444464,None,None
2016-10-28,CTSH,37.88669107822452,41.763451202835114,None,None
2016-10-31,CTSH,35.80195250518724,43.70183126514041,None,None
2016-11-01,CTSH,42.955311935350984,47.651770645117,None,None
2016-10-26,PYPL,65.0189472834151,59.269541684876046,None,None
2016-10-27,PYPL,55.528354258455984,56.39483888560652,None,None
2016-10-28,PYPL,57.9864084389118,56.82808119918179,None,None
2016-10-31,PYPL,58.99614604613182,56.24891757931678,None,None
2016-11-01,PYPL,64.6259100377278,54.87530334590927,None,None
2016-10-26,AMZN,86.93676773244644,74.62255443580969,None,None
2016-10-27,AMZN,87.1016062537926,68.46544778749131,None,None
2016-10-28,AMZN,57.16093756967779,59.14736855434067,None,None
2016-10-31,AMZN,68.61884582300308,60.14058404667211,None,None
2016-11-01,AMZN,67.70435947551985,55.90145315850662,None,None
2016-10-26,MAR,18.85489790567442,28.77491262382631,None,None
2016-10-27,MAR,20.439155457732785,33.734919982902255,None,None
2016-10-28,MAR,26.201437726724254,40.38280224548699,None,None
2016-10-31,MAR,48.33440570556759,47.47348450486837,None,None
2016-11-01,MAR,41.12907171355625,47.043023904518755,None,None
