Date,Symbol,K val,D val,Buy,Sell
2016-10-27,WDC,67.98784588281967,61.38874715809842,None,None
2016-10-28,WDC,67.08812731223833,58.08919779573779,None,None
2016-10-31,WDC,60.76919911246256,53.58973303748752,None,None
2016-10-27,NFLX,68.71750310068222,62.04911411136098,None,None
2016-10-28,NFLX,70.32727463842865,58.71491961670036,None,None
2016-10-31,NFLX,58.72622631750861,52.90874210583621,None,None
2016-10-27,GOOGL,60.8406737422199,58.76832774076249,None,None
2016-10-28,GOOGL,67.83198424390758,57.73215474003378,None,None
2016-10-31,GOOGL,58.04671996429059,52.68223998809687,None,None
2016-10-27,AAPL,75.87106039996115,65.54353731262954,None,None
2016-10-28,AAPL,71.60569316404431,60.379775768963725,None,None
2016-10-31,AAPL,64.3004512142703,54.76681707142343,None,None
2016-10-27,SRCL,29.182807458481292,49.58790365529593,None,None
2016-10-28,SRCL,67.2468601471032,59.79045175370325,None,None
2016-10-31,SRCL,68.18674267100981,56.062247557003275,None,None
2016-10-27,SBAC,70.10438462198755,62.41527074977084,None,None
2016-10-28,SBAC,68.2459636868546,58.57071381366249,None,None
2016-10-31,SBAC,61.19926663119932,53.73308887706644,None,None
2016-10-27,JD,59.296123822107816,57.53248618595893,None,None
2016-10-28,JD,61.16646968372993,56.650667367884495,None,None
2016-10-31,JD,63.17829862988532,54.39276620996178,None,None
2016-10-27,CTRP,71.2386325179944,62.66137719592845,None,None
2016-10-28,CTRP,68.08871800776079,58.372749534895476,None,None
2016-10-31,CTRP,60.54429589538847,53.51476529846283,None,None
2016-10-27,XLNX,26.796767239144963,39.73007069394575,None,None
2016-10-28,XLNX,35.60330943847095,46.196722421346145,None,None
2016-10-31,XLNX,54.480286738351225,51.49342891278374,None,None
2016-10-27,NXPI,35.273769452371134,49.07631279415897,None,None
2016-10-28,NXPI,58.36494260971081,55.9775844650529,None,None
2016-10-31,NXPI,64.35171617817184,54.78390539272395,None,None
2016-10-27,VRTX,57.24141936054819,55.911761502582216,None,None
2016-10-28,VRTX,64.74363247863243,55.246932573599224,None,None
2016-10-31,VRTX,51.49574786324787,50.498582621082626,None,None
2016-10-27,MYL,53.0235116838833,47.50320582648398,None,None
2016-10-28,MYL,45.614562680009875,44.743052897784324,None,None
2016-10-31,MYL,32.92189402001464,44.30729800667155,None,None
2016-10-27,KHC,29.939694156494795,42.217096750827515,None,None
2016-10-28,KHC,38.733089158650024,48.35579804799387,None,None
2016-10-31,KHC,59.50145747799738,53.16715249266579,None,None
2016-10-27,HSIC,62.72931845974946,60.16750997857892,None,None
2016-10-28,HSIC,65.98873558436111,58.886605737993655,None,None
2016-10-31,HSIC,66.00662244442978,55.33554081480993,None,None
2016-10-27,CTSH,37.122111243464914,43.50782783592789,None,None
2016-10-28,CTSH,45.33837495068671,46.70068613215938,None,None
2016-10-31,CTSH,42.145525168687165,47.38184172289572,None,None
2016-10-27,PYPL,47.53222213829538,47.63572229093017,None,None
2016-10-28,PYPL,45.992210258670895,47.687472367247565,None,None
2016-10-31,PYPL,45.605310264607716,48.53510342153591,None,None
2016-10-27,AMZN,78.10244529117904,55.97176866403685,None,None
2016-10-28,AMZN,33.75692766467874,44.906430350465754,None,None
2016-10-31,AMZN,51.44354508007777,50.48118169335926,None,None
2016-10-27,MAR,24.560014019160512,38.78262903501442,None,None
2016-10-28,MAR,31.86174832027954,45.89393654294138,None,None
2016-10-31,MAR,58.73009196281689,52.910030654272305,None,None
2016-10-27,MAT,68.52884379982355,63.29843457784388,None,None
2016-10-28,MAT,72.34206269221654,60.68322996685404,None,None
2016-10-31,MAT,64.5614408125184,54.8538136041728,None,None
2016-10-27,VRSK,51.00933925809735,53.822211461576536,None,None
2016-10-28,VRSK,57.43504593704875,55.22864756331613,None,None
2016-10-31,VRSK,62.37634512934948,54.125448376449825,None,None
2016-10-27,FOXA,47.98360073187233,53.16876616390524,None,None
2016-10-28,FOXA,58.64202331988254,55.7613488799217,None,None
2016-10-31,FOXA,62.96303497982382,54.32101165994128,None,None
2016-10-27,NTES,75.0740363626429,63.50869060710065,None,None
2016-10-28,NTES,66.93070978855421,57.72601772932952,None,None
2016-10-31,NTES,59.37101509915152,53.12367169971718,None,None
2016-10-27,XRAY,19.96754391096127,31.774090562368254,None,None
2016-10-28,XRAY,27.299764844889637,37.677363888071746,None,None
2016-10-31,XRAY,28.59849022898838,42.866163409662796,None,None
2016-10-27,ROST,58.23904368618402,56.19464049241036,None,None
2016-10-28,ROST,58.23757651828696,55.17243889552353,None,None
2016-10-31,ROST,60.91961025242544,53.63987008414182,None,None
2016-10-27,WFM,42.84512444521722,45.03367070324535,None,None
2016-10-28,WFM,49.494942607889335,46.12794383225941,None,None
2016-10-31,WFM,33.333333333333336,44.44444444444445,None,None
2016-10-27,CHKP,24.03462756899927,39.762558655345245,None,None
2016-10-28,CHKP,33.87449114540226,47.62652419851823,None,None
2016-10-31,CHKP,63.50762217522864,54.502540725076216,None,None
2016-10-27,ESRX,64.70900191762732,51.44310106339678,None,None
2016-10-28,ESRX,31.541451908844607,44.81015063628152,None,None
2016-10-31,ESRX,54.3334999999999,51.44449999999997,None,None
2016-10-27,REGN,74.15487730465806,59.30306137282943,None,None
2016-10-28,REGN,58.59507189441028,51.87715340691513,None,None
2016-10-31,REGN,45.554582489502664,48.51819416316756,None,None
2016-10-27,AMAT,47.376589506172735,49.84569444444437,None,None
2016-10-28,AMAT,46.75925925925914,51.08024691358018,None,None
2016-10-31,AMAT,59.722222222222115,53.240740740740705,None,None
